Specimen.number,Plant.ID,area_leaf,,,,,
8151.1,DH01,41.83,,,,,
8060,DH01,6.28,,,,,
8642.2(sm),DH01,64.46,,,,,
5884,DH02,38.84,,,,,
8639,DH02,62.68,,,,,
6321,DH02,73.21,,,,,
8642.1 (lg),DH02,88.28,,,,,
6325,DH02,64.84,,,,,
5947,DH02,218.1,,,,,
8390,DH02,102.4,,,,,
5946,DH02,36.42,,,,,
5991,DH02,53.62,,,,,
8189.2(sm),DH03,16.74,,,,,
8189.1(lg),DH03,23.77,,,,,
8105,DH03,35.25,,,,,
8073,DH03,12.18,,,,,
9059+9064,DH03,4.61,,,,,
7990,DH03,69.48,,,,,
8848,DH03,29.58,,,,,
8086,DH03,13.89,,,,,
8638,DH05,40.82,,,,,
5872,DH05,5.74,,,,,
5877.2(sm),DH05,20.49,,,,,
8630+8149,DH08,25.12,,,,,
8183.2(sm),DH08,14.56,,,,,
8052,DH08,27.6,,,,,
8069,DH08,22.2,,,,,
8372+8194,DH08,16.9,,,,,
8067.2(drk),DH08,30.79,,,,,
9067,DH08,11.68,,,,,
8375,DH08,17.09,,,,,
8075,DH08,3.55,,,,,
8063.5(sm),DH08,7.78,,,,,
7040.2(sm),DH08,12.78,,,,,
7994,DH08,24.04,,,,,
8172,DH08,33.16,,,,,
8163.1(lg),DH08,5.108,,,,,
8620+8628,DH08,5.29,,,,,
5822,DH08,11.71,,,,,
8382,DH08,10.48,,,,,
8185,DH08,15.04,,,,,
8381,DH08,9.55,,,,,
8367,DH08,7.36,,,,,
8157,DH08,9.98,,,,,
5783,DH12,28.96,,,,,
9037,DH12,76.02,,,,,
8329,DH12,12.83,,,,,
5974,DH12,38.82,,,,,
5753,DH12,33.14,,,,,
8107,DH12,38.77,,,,,
8331+8635,DH12,17.74,,,,,
8140,DH12,37.49,,,,,
5748,DH12,35.89,,,,,
5787,DH12,16.15,,,,,
5752,DH12,56.13,,,,,
8646,DH12,24.66,,,,,
5761,DH12,48.72,,,,,
7958,DH12,25.57,,,,,
5728,DH12,27.96,,,,,
8326,DH12,14.68,,,,,
5727.1(lg),DH12,32.67,,,,,
5753,DH12,28.79,,,,,
5854,DH18,15.13,,,,,
5860,DH18,31.86,,,,,
8082,DH18,13.99,,,,,
5842,DH18,29.81,,,,,
5855,DH18,27.82,,,,,
5867,DH18,33.1,,,,,
5850,DH18,37.05,,,,,
7035,DH18,16.59,,,,,
5857,DH18,29.75,,,,,
7963,DH18,36.58,,,,,
8175,DH18,14.63,,,,,
7922,DH21,10,,,,,
8151.2(covered),DH22,18.31,,,,,
41883+41885,DH22,10.89,,,,,
7951,DH22,2.82,,,,,
7950,DH22,14.61,,,,,
7945,DH22,11.87,,,,,
7954,DH22,2.73,,,,,